"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"51630"," "," ","BLANCHARD",28,1 
"51640"," "," ","HAMBURG",24,1 
"52626","22800","Fort Madison-Keokuk, IA-IL-MO","FARMINGTON",32,1 
"52761","19340","Davenport-Moline-Rock Island, IA-IL","MUSCATINE",231,1 
"60002","16980","Chicago-Naperville-Elgin, IL-IN-WI","ANTIOCH",19442,1 
"60004","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARLINGTON HEIGHT",52735,1 
"60005","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARLINGTON HEIGHT",29183,1 
"60007","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELK GROVE VILLAG",35162,1 
"60008","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROLLING MEADOWS",23318,1 
"60010","16980","Chicago-Naperville-Elgin, IL-IN-WI","BARRINGTON",39819,1 
"60012","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRYSTAL LAKE",9919,1 
"60013","16980","Chicago-Naperville-Elgin, IL-IN-WI","CARY",24226,1 
"60014","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRYSTAL LAKE",44468,1 
"60015","16980","Chicago-Naperville-Elgin, IL-IN-WI","DEERFIELD",27224,1 
"60016","16980","Chicago-Naperville-Elgin, IL-IN-WI","DES PLAINES",58611,1 
"60018","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROSEMONT",29950,1 
"60020","16980","Chicago-Naperville-Elgin, IL-IN-WI","FOX LAKE",6457,1 
"60021","16980","Chicago-Naperville-Elgin, IL-IN-WI","FOX RIVER GROVE",5877,1 
"60022","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENCOE",8490,1 
"60025","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENVIEW",49574,1 
"60029","16980","Chicago-Naperville-Elgin, IL-IN-WI","GOLF",354,1 
"60030","16980","Chicago-Naperville-Elgin, IL-IN-WI","GAGES LAKE",32340,1 
"60031","16980","Chicago-Naperville-Elgin, IL-IN-WI","GURNEE",37461,1 
"60033","16980","Chicago-Naperville-Elgin, IL-IN-WI","HARVARD",13164,0.992 
"60033","40420","Rockford, IL","HARVARD",105,0.008 
"60034","16980","Chicago-Naperville-Elgin, IL-IN-WI","HEBRON",1896,1 
"60035","16980","Chicago-Naperville-Elgin, IL-IN-WI","HIGHLAND PARK",29772,1 
"60037","16980","Chicago-Naperville-Elgin, IL-IN-WI","FORT SHERIDAN",901,1 
"60040","16980","Chicago-Naperville-Elgin, IL-IN-WI","HIGHWOOD",5645,1 
"60041","16980","Chicago-Naperville-Elgin, IL-IN-WI","INGLESIDE",9286,1 
"60042","16980","Chicago-Naperville-Elgin, IL-IN-WI","ISLAND LAKE",8877,1 
"60043","16980","Chicago-Naperville-Elgin, IL-IN-WI","KENILWORTH",2617,1 
"60044","16980","Chicago-Naperville-Elgin, IL-IN-WI","LAKE BLUFF",15516,1 
"60045","16980","Chicago-Naperville-Elgin, IL-IN-WI","LAKE FOREST",22248,1 
"60046","16980","Chicago-Naperville-Elgin, IL-IN-WI","LINDENHURST",30225,1 
"60047","16980","Chicago-Naperville-Elgin, IL-IN-WI","LONG GROVE",38168,1 
"60048","16980","Chicago-Naperville-Elgin, IL-IN-WI","LIBERTYVILLE",28562,1 
"60050","16980","Chicago-Naperville-Elgin, IL-IN-WI","MC HENRY",47813,1 
"60053","16980","Chicago-Naperville-Elgin, IL-IN-WI","MORTON GROVE",21668,1 
"60056","16980","Chicago-Naperville-Elgin, IL-IN-WI","MOUNT PROSPECT",56625,1 
"60060","16980","Chicago-Naperville-Elgin, IL-IN-WI","MUNDELEIN",37027,1 
"60061","16980","Chicago-Naperville-Elgin, IL-IN-WI","VERNON HILLS",20328,1 
"60062","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTHBROOK",40392,1 
"60064","16980","Chicago-Naperville-Elgin, IL-IN-WI","ABBOTT PARK",16121,1 
"60067","16980","Chicago-Naperville-Elgin, IL-IN-WI","PALATINE",50825,1 
"60068","16980","Chicago-Naperville-Elgin, IL-IN-WI","PARK RIDGE",37732,1 
"60069","16980","Chicago-Naperville-Elgin, IL-IN-WI","PRAIRIE VIEW",7204,1 
"60070","16980","Chicago-Naperville-Elgin, IL-IN-WI","PROSPECT HEIGHTS",16126,1 
"60071","16980","Chicago-Naperville-Elgin, IL-IN-WI","RICHMOND",2905,1 
"60072","16980","Chicago-Naperville-Elgin, IL-IN-WI","RINGWOOD",348,1 
"60073","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROUND LAKE",39115,1 
"60074","16980","Chicago-Naperville-Elgin, IL-IN-WI","PALATINE",23963,1 
"60076","16980","Chicago-Naperville-Elgin, IL-IN-WI","SKOKIE",34263,1 
"60077","16980","Chicago-Naperville-Elgin, IL-IN-WI","SKOKIE",25040,1 
"60081","16980","Chicago-Naperville-Elgin, IL-IN-WI","SPRING GROVE",8321,1 
"60083","16980","Chicago-Naperville-Elgin, IL-IN-WI","WADSWORTH",5387,1 
"60084","16980","Chicago-Naperville-Elgin, IL-IN-WI","WAUCONDA",13061,1 
"60085","16980","Chicago-Naperville-Elgin, IL-IN-WI","MC GAW PARK",72937,1 
"60087","16980","Chicago-Naperville-Elgin, IL-IN-WI","WAUKEGAN",23530,1 
"60088","16980","Chicago-Naperville-Elgin, IL-IN-WI","GREAT LAKES",13319,1 
"60089","16980","Chicago-Naperville-Elgin, IL-IN-WI","BUFFALO GROVE",42115,1 
"60090","16980","Chicago-Naperville-Elgin, IL-IN-WI","WHEELING",36736,1 
"60091","16980","Chicago-Naperville-Elgin, IL-IN-WI","WILMETTE",27386,1 
"60093","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTHFIELD",19528,1 
"60096","16980","Chicago-Naperville-Elgin, IL-IN-WI","WINTHROP HARBOR",6853,1 
"60097","16980","Chicago-Naperville-Elgin, IL-IN-WI","WONDER LAKE",10434,1 
"60098","16980","Chicago-Naperville-Elgin, IL-IN-WI","WOODSTOCK",27526,1 
"60099","16980","Chicago-Naperville-Elgin, IL-IN-WI","ZION",29882,1 
"60101","16980","Chicago-Naperville-Elgin, IL-IN-WI","ADDISON",38141,1 
"60102","16980","Chicago-Naperville-Elgin, IL-IN-WI","LAKE IN THE HILL",47985,1 
"60103","16980","Chicago-Naperville-Elgin, IL-IN-WI","HANOVER PARK",75585,1 
"60104","16980","Chicago-Naperville-Elgin, IL-IN-WI","BELLWOOD",20571,1 
"60106","16980","Chicago-Naperville-Elgin, IL-IN-WI","BENSENVILLE",22404,1 
"60107","16980","Chicago-Naperville-Elgin, IL-IN-WI","STREAMWOOD",35638,1 
"60108","16980","Chicago-Naperville-Elgin, IL-IN-WI","BLOOMINGDALE",21960,1 
"60109","16980","Chicago-Naperville-Elgin, IL-IN-WI","BURLINGTON",158,1 
"60110","16980","Chicago-Naperville-Elgin, IL-IN-WI","CARPENTERSVILLE",32145,1 
"60111","16980","Chicago-Naperville-Elgin, IL-IN-WI","CLARE",305,1 
"60112","16980","Chicago-Naperville-Elgin, IL-IN-WI","CORTLAND",1294,1 
"60113","40300","Rochelle, IL","CRESTON",304,1 
"60115","16980","Chicago-Naperville-Elgin, IL-IN-WI","DE KALB",42372,1 
"60118","16980","Chicago-Naperville-Elgin, IL-IN-WI","DUNDEE",14739,1 
"60119","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELBURN",7705,1 
"60120","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELGIN",48581,1 
"60123","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELGIN",55201,1 
"60126","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELMHURST",45355,1 
"60129","16980","Chicago-Naperville-Elgin, IL-IN-WI","ESMOND",148,0.509 
"60129","40300","Rochelle, IL","ESMOND",143,0.491 
"60130","16980","Chicago-Naperville-Elgin, IL-IN-WI","FOREST PARK",15688,1 
"60131","16980","Chicago-Naperville-Elgin, IL-IN-WI","FRANKLIN PARK",19342,1 
"60134","16980","Chicago-Naperville-Elgin, IL-IN-WI","GENEVA",21497,1 
"60135","16980","Chicago-Naperville-Elgin, IL-IN-WI","GENOA",5971,0.994 
"60135","40420","Rockford, IL","GENOA",36,0.006 
"60136","16980","Chicago-Naperville-Elgin, IL-IN-WI","GILBERTS",1459,1 
"60137","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLEN ELLYN",38026,1 
"60139","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENDALE HEIGHTS",32303,1 
"60140","16980","Chicago-Naperville-Elgin, IL-IN-WI","HAMPSHIRE",7315,1 
"60141","16980","Chicago-Naperville-Elgin, IL-IN-WI","HINES",247,1 
"60142","16980","Chicago-Naperville-Elgin, IL-IN-WI","HUNTLEY",7891,1 
"60143","16980","Chicago-Naperville-Elgin, IL-IN-WI","ITASCA",10021,1 
"60145","16980","Chicago-Naperville-Elgin, IL-IN-WI","KINGSTON",2489,0.961 
"60145","40420","Rockford, IL","KINGSTON",102,0.039 
"60146","16980","Chicago-Naperville-Elgin, IL-IN-WI","KIRKLAND",2146,0.959 
"60146","40300","Rochelle, IL","KIRKLAND",16,0.007 
"60146","40420","Rockford, IL","KIRKLAND",76,0.034 
"60148","16980","Chicago-Naperville-Elgin, IL-IN-WI","LOMBARD",50460,1 
"60150","16980","Chicago-Naperville-Elgin, IL-IN-WI","MALTA",1677,1 
"60151","16980","Chicago-Naperville-Elgin, IL-IN-WI","MAPLE PARK",3554,1 
"60152","16980","Chicago-Naperville-Elgin, IL-IN-WI","MARENGO",10971,1 
"60152","40420","Rockford, IL","MARENGO",3,0 
"60153","16980","Chicago-Naperville-Elgin, IL-IN-WI","BROADVIEW",26863,1 
"60154","16980","Chicago-Naperville-Elgin, IL-IN-WI","WESTCHESTER",16714,1 
"60155","16980","Chicago-Naperville-Elgin, IL-IN-WI","MELLON FINANCIAL",8254,1 
"60157","16980","Chicago-Naperville-Elgin, IL-IN-WI","MEDINAH",2111,1 
"60160","16980","Chicago-Naperville-Elgin, IL-IN-WI","MELROSE PARK",23034,1 
"60162","16980","Chicago-Naperville-Elgin, IL-IN-WI","HILLSIDE",8513,1 
"60163","16980","Chicago-Naperville-Elgin, IL-IN-WI","HILLSIDE",5212,1 
"60164","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTHLAKE",21682,1 
"60165","16980","Chicago-Naperville-Elgin, IL-IN-WI","STONE PARK",5171,1 
"60171","16980","Chicago-Naperville-Elgin, IL-IN-WI","RIVER GROVE",10681,1 
"60172","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROSELLE",25349,1 
"60173","16980","Chicago-Naperville-Elgin, IL-IN-WI","SCHAUMBURG",12046,1 
"60174","16980","Chicago-Naperville-Elgin, IL-IN-WI","SAINT CHARLES",31513,1 
"60175","16980","Chicago-Naperville-Elgin, IL-IN-WI","SAINT CHARLES",17953,1 
"60176","16980","Chicago-Naperville-Elgin, IL-IN-WI","SCHILLER PARK",11636,1 
"60177","16980","Chicago-Naperville-Elgin, IL-IN-WI","SOUTH ELGIN",16941,1 
"60178","16980","Chicago-Naperville-Elgin, IL-IN-WI","SYCAMORE",16477,1 
"60180","16980","Chicago-Naperville-Elgin, IL-IN-WI","UNION",1743,1 
"60181","16980","Chicago-Naperville-Elgin, IL-IN-WI","VILLA PARK",30161,1 
"60184","16980","Chicago-Naperville-Elgin, IL-IN-WI","WAYNE",698,1 
"60185","16980","Chicago-Naperville-Elgin, IL-IN-WI","WEST CHICAGO",32936,1 
"60187","16980","Chicago-Naperville-Elgin, IL-IN-WI","WHEATON",61481,1 
"60188","16980","Chicago-Naperville-Elgin, IL-IN-WI","CAROL STREAM",43730,1 
"60190","16980","Chicago-Naperville-Elgin, IL-IN-WI","WINFIELD",12065,1 
"60191","16980","Chicago-Naperville-Elgin, IL-IN-WI","WOOD DALE",14360,1 
"60192","16980","Chicago-Naperville-Elgin, IL-IN-WI","HOFFMAN ESTATES",1775,1 
"60193","16980","Chicago-Naperville-Elgin, IL-IN-WI","SCHAUMBURG",41099,1 
"60194","16980","Chicago-Naperville-Elgin, IL-IN-WI","HOFFMAN ESTATES",41366,1 
"60195","16980","Chicago-Naperville-Elgin, IL-IN-WI","HOFFMAN ESTATES",29924,1 
"60201","16980","Chicago-Naperville-Elgin, IL-IN-WI","EVANSTON",41977,1 
"60202","16980","Chicago-Naperville-Elgin, IL-IN-WI","EVANSTON",32208,1 
"60203","16980","Chicago-Naperville-Elgin, IL-IN-WI","EVANSTON",4691,1 
"60301","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK PARK",2158,1 
"60302","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK PARK",32527,1 
"60304","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK PARK",17839,1 
"60305","16980","Chicago-Naperville-Elgin, IL-IN-WI","RIVER FOREST",11635,1 
"60401","16980","Chicago-Naperville-Elgin, IL-IN-WI","BEECHER",5440,0.982 
"60401","28100","Kankakee, IL","BEECHER",97,0.018 
"60402","16980","Chicago-Naperville-Elgin, IL-IN-WI","STICKNEY",60373,1 
"60406","16980","Chicago-Naperville-Elgin, IL-IN-WI","BLUE ISLAND",25370,1 
"60407","16980","Chicago-Naperville-Elgin, IL-IN-WI","BRACEVILLE",1604,1 
"60408","16980","Chicago-Naperville-Elgin, IL-IN-WI","BRAIDWOOD",5077,1 
"60409","16980","Chicago-Naperville-Elgin, IL-IN-WI","CALUMET CITY",39065,1 
"60410","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHANNAHON",7585,1 
"60411","16980","Chicago-Naperville-Elgin, IL-IN-WI","SAUK VILLAGE",60461,1 
"60415","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO RIDGE",14039,1 
"60416","16980","Chicago-Naperville-Elgin, IL-IN-WI","COAL CITY",7288,1 
"60417","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRETE",15780,1 
"60419","16980","Chicago-Naperville-Elgin, IL-IN-WI","DOLTON",25567,1 
"60420","16980","Chicago-Naperville-Elgin, IL-IN-WI","DWIGHT",233,0.038 
"60420","38700","Pontiac, IL","DWIGHT",5890,0.962 
"60421","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELWOOD",3516,1 
"60422","16980","Chicago-Naperville-Elgin, IL-IN-WI","FLOSSMOOR",9224,1 
"60423","16980","Chicago-Naperville-Elgin, IL-IN-WI","FRANKFORT",22853,1 
"60424","16980","Chicago-Naperville-Elgin, IL-IN-WI","GARDNER",2304,0.997 
"60424","28100","Kankakee, IL","GARDNER",7,0.003 
"60425","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENWOOD",9011,1 
"60426","16980","Chicago-Naperville-Elgin, IL-IN-WI","MARKHAM",47649,1 
"60429","16980","Chicago-Naperville-Elgin, IL-IN-WI","HAZEL CREST",16070,1 
"60430","16980","Chicago-Naperville-Elgin, IL-IN-WI","HOMEWOOD",21152,1 
"60431","16980","Chicago-Naperville-Elgin, IL-IN-WI","JOLIET",23392,1 
"60432","16980","Chicago-Naperville-Elgin, IL-IN-WI","JOLIET",21431,1 
"60433","16980","Chicago-Naperville-Elgin, IL-IN-WI","JOLIET",17658,1 
"60435","16980","Chicago-Naperville-Elgin, IL-IN-WI","SHOREWOOD",52542,1 
"60436","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROCKDALE",16184,1 
"60437","16980","Chicago-Naperville-Elgin, IL-IN-WI","KINSMAN",230,0.987 
"60437","36860","Ottawa-Peru, IL","KINSMAN",3,0.013 
"60438","16980","Chicago-Naperville-Elgin, IL-IN-WI","LANSING",28950,1 
"60439","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARGONNE",20004,1 
"60440","16980","Chicago-Naperville-Elgin, IL-IN-WI","BOLINGBROOK",46546,1 
"60441","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROMEOVILLE",49103,1 
"60442","16980","Chicago-Naperville-Elgin, IL-IN-WI","MANHATTAN",6285,1 
"60443","16980","Chicago-Naperville-Elgin, IL-IN-WI","MATTESON",15125,1 
"60444","16980","Chicago-Naperville-Elgin, IL-IN-WI","MAZON",1545,1 
"60445","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRESTWOOD",25979,1 
"60446","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROMEOVILLE",20141,1 
"60447","16980","Chicago-Naperville-Elgin, IL-IN-WI","MINOOKA",7295,1 
"60448","16980","Chicago-Naperville-Elgin, IL-IN-WI","MOKENA",19476,1 
"60449","16980","Chicago-Naperville-Elgin, IL-IN-WI","MONEE",5705,1 
"60450","16980","Chicago-Naperville-Elgin, IL-IN-WI","MORRIS",19021,0.995 
"60450","36860","Ottawa-Peru, IL","MORRIS",93,0.005 
"60451","16980","Chicago-Naperville-Elgin, IL-IN-WI","NEW LENOX",27338,1 
"60452","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK FOREST",27899,1 
"60453","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK LAWN",54499,1 
"60455","16980","Chicago-Naperville-Elgin, IL-IN-WI","BRIDGEVIEW",16138,1 
"60456","16980","Chicago-Naperville-Elgin, IL-IN-WI","HOMETOWN",4452,1 
"60457","16980","Chicago-Naperville-Elgin, IL-IN-WI","HICKORY HILLS",14110,1 
"60458","16980","Chicago-Naperville-Elgin, IL-IN-WI","JUSTICE",14226,1 
"60459","16980","Chicago-Naperville-Elgin, IL-IN-WI","BURBANK",27978,1 
"60460","38700","Pontiac, IL","ODELL",1517,1 
"60461","16980","Chicago-Naperville-Elgin, IL-IN-WI","OLYMPIA FIELDS",4637,1 
"60462","16980","Chicago-Naperville-Elgin, IL-IN-WI","ORLAND PARK",38431,1 
"60463","16980","Chicago-Naperville-Elgin, IL-IN-WI","PALOS HEIGHTS",13286,1 
"60464","16980","Chicago-Naperville-Elgin, IL-IN-WI","PALOS PARK",9520,1 
"60465","16980","Chicago-Naperville-Elgin, IL-IN-WI","PALOS HILLS",17198,1 
"60466","16980","Chicago-Naperville-Elgin, IL-IN-WI","UNIVERSITY PARK",30302,1 
"60467","16980","Chicago-Naperville-Elgin, IL-IN-WI","60467",20904,1 
"60468","16980","Chicago-Naperville-Elgin, IL-IN-WI","PEOTONE",5239,0.985 
"60468","28100","Kankakee, IL","PEOTONE",78,0.015 
"60469","16980","Chicago-Naperville-Elgin, IL-IN-WI","POSEN",4703,1 
"60470","16980","Chicago-Naperville-Elgin, IL-IN-WI","RANSOM",10,0.015 
"60470","36860","Ottawa-Peru, IL","RANSOM",677,0.985 
"60471","16980","Chicago-Naperville-Elgin, IL-IN-WI","RICHTON PARK",12855,1 
"60472","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROBBINS",6672,1 
"60473","16980","Chicago-Naperville-Elgin, IL-IN-WI","SOUTH HOLLAND",22218,1 
"60474","16980","Chicago-Naperville-Elgin, IL-IN-WI","SOUTH WILMINGTON",733,1 
"60475","16980","Chicago-Naperville-Elgin, IL-IN-WI","STEGER",9180,1 
"60476","16980","Chicago-Naperville-Elgin, IL-IN-WI","THORNTON",2601,1 
"60477","16980","Chicago-Naperville-Elgin, IL-IN-WI","TINLEY PARK",56840,1 
"60478","16980","Chicago-Naperville-Elgin, IL-IN-WI","COUNTRY CLUB HIL",16168,1 
"60479","16980","Chicago-Naperville-Elgin, IL-IN-WI","VERONA",717,1 
"60480","16980","Chicago-Naperville-Elgin, IL-IN-WI","WILLOW SPRINGS",4758,1 
"60481","16980","Chicago-Naperville-Elgin, IL-IN-WI","CUSTER PARK",11292,0.995 
"60481","28100","Kankakee, IL","CUSTER PARK",54,0.005 
"60482","16980","Chicago-Naperville-Elgin, IL-IN-WI","WORTH",11262,1 
"60490","16980","Chicago-Naperville-Elgin, IL-IN-WI","60490",9263,1 
"60501","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARGO",11175,1 
"60504","16980","Chicago-Naperville-Elgin, IL-IN-WI","AURORA",44412,1 
"60505","16980","Chicago-Naperville-Elgin, IL-IN-WI","AURORA",56971,1 
"60506","16980","Chicago-Naperville-Elgin, IL-IN-WI","AURORA",51184,1 
"60510","16980","Chicago-Naperville-Elgin, IL-IN-WI","BATAVIA",26565,1 
"60511","16980","Chicago-Naperville-Elgin, IL-IN-WI","BIG ROCK",1862,1 
"60512","16980","Chicago-Naperville-Elgin, IL-IN-WI","BRISTOL",892,1 
"60513","16980","Chicago-Naperville-Elgin, IL-IN-WI","BROOKFIELD",19146,1 
"60514","16980","Chicago-Naperville-Elgin, IL-IN-WI","CLARENDON HILLS",17313,1 
"60515","16980","Chicago-Naperville-Elgin, IL-IN-WI","DOWNERS GROVE",27514,1 
"60516","16980","Chicago-Naperville-Elgin, IL-IN-WI","DOWNERS GROVE",30593,1 
"60517","16980","Chicago-Naperville-Elgin, IL-IN-WI","WOODRIDGE",31344,1 
"60518","16980","Chicago-Naperville-Elgin, IL-IN-WI","EARLVILLE",270,0.074 
"60518","19940","Dixon, IL","EARLVILLE",92,0.025 
"60518","36860","Ottawa-Peru, IL","EARLVILLE",3279,0.901 
"60519","16980","Chicago-Naperville-Elgin, IL-IN-WI","EOLA",74,1 
"60520","16980","Chicago-Naperville-Elgin, IL-IN-WI","HINCKLEY",2770,1 
"60521","16980","Chicago-Naperville-Elgin, IL-IN-WI","OAK BROOK",37496,1 
"60523","16980","Chicago-Naperville-Elgin, IL-IN-WI","60523",10231,1 
"60525","16980","Chicago-Naperville-Elgin, IL-IN-WI","HODGKINS",32475,1 
"60526","16980","Chicago-Naperville-Elgin, IL-IN-WI","WORLD OF BEAUTY",13301,1 
"60530","16980","Chicago-Naperville-Elgin, IL-IN-WI","LEE",182,0.297 
"60530","19940","Dixon, IL","LEE",431,0.703 
"60531","16980","Chicago-Naperville-Elgin, IL-IN-WI","LELAND",227,0.115 
"60531","36860","Ottawa-Peru, IL","LELAND",1748,0.885 
"60532","16980","Chicago-Naperville-Elgin, IL-IN-WI","LISLE",27341,1 
"60534","16980","Chicago-Naperville-Elgin, IL-IN-WI","LYONS",10212,1 
"60536","16980","Chicago-Naperville-Elgin, IL-IN-WI","MILLBROOK",96,1 
"60537","16980","Chicago-Naperville-Elgin, IL-IN-WI","MILLINGTON",263,0.699 
"60537","36860","Ottawa-Peru, IL","MILLINGTON",113,0.301 
"60538","16980","Chicago-Naperville-Elgin, IL-IN-WI","MONTGOMERY",13702,1 
"60540","16980","Chicago-Naperville-Elgin, IL-IN-WI","NAPERVILLE",42065,1 
"60541","16980","Chicago-Naperville-Elgin, IL-IN-WI","NEWARK",2579,0.981 
"60541","36860","Ottawa-Peru, IL","NEWARK",49,0.019 
"60542","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTH AURORA",11007,1 
"60543","16980","Chicago-Naperville-Elgin, IL-IN-WI","OSWEGO",18769,1 
"60544","16980","Chicago-Naperville-Elgin, IL-IN-WI","PLAINFIELD",44284,1 
"60545","16980","Chicago-Naperville-Elgin, IL-IN-WI","PLANO",7638,1 
"60546","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTH RIVERSIDE",15700,1 
"60548","16980","Chicago-Naperville-Elgin, IL-IN-WI","SANDWICH",7302,0.661 
"60548","36860","Ottawa-Peru, IL","SANDWICH",3752,0.339 
"60549","36860","Ottawa-Peru, IL","SERENA",594,1 
"60550","16980","Chicago-Naperville-Elgin, IL-IN-WI","SHABBONA",1445,1 
"60551","36860","Ottawa-Peru, IL","SHERIDAN",5168,1 
"60552","16980","Chicago-Naperville-Elgin, IL-IN-WI","SOMONAUK",1774,0.464 
"60552","36860","Ottawa-Peru, IL","SOMONAUK",2050,0.536 
"60553","19940","Dixon, IL","STEWARD",700,1 
"60554","16980","Chicago-Naperville-Elgin, IL-IN-WI","SUGAR GROVE",4812,1 
"60555","16980","Chicago-Naperville-Elgin, IL-IN-WI","WARRENVILLE",13852,1 
"60556","16980","Chicago-Naperville-Elgin, IL-IN-WI","WATERMAN",1797,1 
"60557","36860","Ottawa-Peru, IL","WEDRON",101,1 
"60558","16980","Chicago-Naperville-Elgin, IL-IN-WI","WESTERN SPRINGS",12539,1 
"60559","16980","Chicago-Naperville-Elgin, IL-IN-WI","WESTMONT",25954,1 
"60560","16980","Chicago-Naperville-Elgin, IL-IN-WI","YORKVILLE",11502,1 
"60561","16980","Chicago-Naperville-Elgin, IL-IN-WI","DARIEN",23570,1 
"60563","16980","Chicago-Naperville-Elgin, IL-IN-WI","NAPERVILLE",31405,1 
"60564","16980","Chicago-Naperville-Elgin, IL-IN-WI","NAPERVILLE",32206,1 
"60565","16980","Chicago-Naperville-Elgin, IL-IN-WI","NAPERVILLE",40640,1 
"60601","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",5591,1 
"60602","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",70,1 
"60603","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",378,1 
"60604","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",78,1 
"60605","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",12423,1 
"60606","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",1682,1 
"60607","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",15552,1 
"60608","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",92472,1 
"60609","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",79469,1 
"60610","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",47513,1 
"60611","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",26522,1 
"60612","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",37990,1 
"60613","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",50548,1 
"60614","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",65474,1 
"60615","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",45096,1 
"60616","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",47073,1 
"60617","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",96288,1 
"60618","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",98147,1 
"60619","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",74963,1 
"60620","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",85771,1 
"60621","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",47514,1 
"60622","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",76015,1 
"60623","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",108144,1 
"60624","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",45647,1 
"60625","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",91351,1 
"60626","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",59251,1 
"60628","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",87827,1 
"60629","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",113984,1 
"60630","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",54781,1 
"60631","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",28832,1 
"60632","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",87577,1 
"60633","16980","Chicago-Naperville-Elgin, IL-IN-WI","BURNHAM",13262,1 
"60634","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORRIDGE",74164,1 
"60636","16980","Chicago-Naperville-Elgin, IL-IN-WI","CHICAGO",51451,1 
