"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"64832","27900","Joplin, MO","ASBURY",585,0.808 
"64833","27900","Joplin, MO","AVILLA",109,1 
"64834","27900","Joplin, MO","CARL JUNCTION",7175,1 
"64835","27900","Joplin, MO","CARTERVILLE",1830,1 
"64836","27900","Joplin, MO","CARTHAGE",21978,1 
"64840","27900","Joplin, MO","DIAMOND",2411,1 
"64841","27900","Joplin, MO","DUENWEG",415,1 
"64842"," "," ","FAIRVIEW",38,0.044 
"64842","27900","Joplin, MO","FAIRVIEW",827,0.956 
"64843","22220","Fayetteville-Springdale-Rogers, AR-MO","GOODMAN",2733,0.871 
"64843","27900","Joplin, MO","GOODMAN",403,0.129 
"64844","27900","Joplin, MO","GRANBY",4523,1 
"64847","22220","Fayetteville-Springdale-Rogers, AR-MO","LANAGAN",426,1 
"64848"," "," ","LA RUSSELL",554,0.782 
"64848","27900","Joplin, MO","LA RUSSELL",154,0.218 
"64849","27900","Joplin, MO","NECK CITY",105,1 
"64850","22220","Fayetteville-Springdale-Rogers, AR-MO","NEOSHO",53,0.003 
"64850","27900","Joplin, MO","NEOSHO",20879,0.997 
"64854","22220","Fayetteville-Springdale-Rogers, AR-MO","NOEL",4052,1 
"64855"," "," ","ORONOGO",95,0.053 
"64855","27900","Joplin, MO","ORONOGO",1692,0.947 
"64856","22220","Fayetteville-Springdale-Rogers, AR-MO","JANE",3734,1 
"64857","27900","Joplin, MO","PURCELL",341,1 
"64858","27900","Joplin, MO","RACINE",157,1 
"64859","27900","Joplin, MO","REEDS",1151,1 
"64861","22220","Fayetteville-Springdale-Rogers, AR-MO","ROCKY COMFORT",1005,0.955 
"64861","27900","Joplin, MO","ROCKY COMFORT",47,0.045 
"64862"," "," ","SARCOXIE",140,0.045 
"64862","27900","Joplin, MO","SARCOXIE",2951,0.955 
"64863","22220","Fayetteville-Springdale-Rogers, AR-MO","SOUTH WEST CITY",1672,1 
"64865","22220","Fayetteville-Springdale-Rogers, AR-MO","SENECA",532,0.095 
"64865","27900","Joplin, MO","SENECA",5082,0.905 
"64866","27900","Joplin, MO","STARK CITY",1326,1 
"64867","22220","Fayetteville-Springdale-Rogers, AR-MO","STELLA",777,0.556 
"64867","27900","Joplin, MO","STELLA",620,0.444 
"64870","27900","Joplin, MO","WEBB CITY",11365,1 
"64873"," "," ","WENTWORTH",513,0.55 
"64873","27900","Joplin, MO","WENTWORTH",420,0.45 
"64874"," "," ","WHEATON",897,1 
"65001"," "," ","ARGYLE",106,0.23 
"65001","27620","Jefferson City, MO","ARGYLE",355,0.77 
"65010","17860","Columbia, MO","ASHLAND",4040,1 
"65011"," "," ","BARNETT",2016,0.95 
"65011","27620","Jefferson City, MO","BARNETT",107,0.05 
"65013"," "," ","BELLE",2464,0.766 
"65013","27620","Jefferson City, MO","BELLE",754,0.234 
"65014"," "," ","BLAND",1969,0.839 
"65014","27620","Jefferson City, MO","BLAND",379,0.161 
"65016","27620","Jefferson City, MO","BONNOTS MILL",1265,1 
"65017"," "," ","BRUMLEY",1472,1 
"65018"," "," ","CALIFORNIA",77,0.01 
"65018","27620","Jefferson City, MO","CALIFORNIA",7420,0.99 
"65020"," "," ","CAMDENTON",12165,1 
"65023","27620","Jefferson City, MO","CENTERTOWN",1520,1 
"65024","27620","Jefferson City, MO","CHAMOIS",1200,1 
"65025"," "," ","CLARKSBURG",199,0.244 
"65025","27620","Jefferson City, MO","CLARKSBURG",618,0.756 
"65026"," "," ","ELDON",12126,1 
"65032"," "," ","EUGENE",671,0.47 
"65032","27620","Jefferson City, MO","EUGENE",756,0.53 
"65034"," "," ","FORTUNA",282,0.483 
"65034","27620","Jefferson City, MO","FORTUNA",302,0.517 
"65035","27620","Jefferson City, MO","FREEBURG",1599,1 
"65036"," "," ","GASCONADE",252,1 
"65037"," "," ","GRAVOIS MILLS",4666,1 
"65039","17860","Columbia, MO","HARTSBURG",2081,0.965 
"65039","27620","Jefferson City, MO","HARTSBURG",75,0.035 
"65040"," "," ","HENLEY",266,0.21 
"65040","27620","Jefferson City, MO","HENLEY",999,0.79 
"65041"," "," ","BAY",5690,0.974 
"65041","41180","St. Louis, MO-IL","BAY",152,0.026 
"65043","27620","Jefferson City, MO","HOLTS SUMMIT",8948,1 
"65046","27620","Jefferson City, MO","JAMESTOWN",1142,1 
"65047"," "," ","KAISER",1271,1 
"65048","27620","Jefferson City, MO","KOELTZTOWN",144,1 
"65049"," "," ","FOUR SEASONS",4858,1 
"65050","27620","Jefferson City, MO","LATHAM",567,1 
"65051"," "," ","LINN",5,0.001 
"65051","27620","Jefferson City, MO","LINN",4688,0.999 
"65052"," "," ","LINN CREEK",3146,1 
"65053","27620","Jefferson City, MO","LOHMAN",1169,1 
"65054","27620","Jefferson City, MO","LOOSE CREEK",554,1 
"65058"," "," ","META",730,0.693 
"65058","27620","Jefferson City, MO","META",324,0.307 
"65059","27620","Jefferson City, MO","MOKANE",786,1 
"65061"," "," ","MORRISON",415,0.676 
"65061","27620","Jefferson City, MO","MORRISON",199,0.324 
"65062","27620","Jefferson City, MO","MOUNT STERLING",8,1 
"65063","27620","Jefferson City, MO","NEW BLOOMFIELD",2837,1 
"65064"," "," ","OLEAN",627,1 
"65065"," "," ","OSAGE BEACH",4909,1 
"65066"," "," ","OWENSVILLE",6520,1 
"65067","27620","Jefferson City, MO","PORTLAND",412,1 
"65068"," "," ","PRAIRIE HOME",625,1 
"65069"," "," ","RHINELAND",674,0.902 
"65069","27620","Jefferson City, MO","RHINELAND",73,0.098 
"65072"," "," ","ROCKY MOUNT",1609,1 
"65074"," "," ","RUSSELLVILLE",6,0.002 
"65074","27620","Jefferson City, MO","RUSSELLVILLE",2821,0.998 
"65075"," "," ","SAINT ELIZABETH",790,1 
"65076","27620","Jefferson City, MO","SAINT THOMAS",891,1 
"65077","27620","Jefferson City, MO","STEEDMAN",554,1 
"65078"," "," ","STOVER",3427,0.994 
"65078","42740","Sedalia, MO","STOVER",20,0.006 
"65079"," "," ","SUNRISE BEACH",4602,1 
"65080","27620","Jefferson City, MO","TEBBETTS",762,1 
"65081"," "," ","TIPTON",614,0.144 
"65081","27620","Jefferson City, MO","TIPTON",3656,0.856 
"65082"," "," ","TUSCUMBIA",1171,1 
"65083"," "," ","ULMAN",292,1 
"65084"," "," ","VERSAILLES",6370,0.994 
"65084","27620","Jefferson City, MO","VERSAILLES",40,0.006 
"65085","27620","Jefferson City, MO","WESTPHALIA",1061,1 
"65101","27620","Jefferson City, MO","JEFFERSON CITY",28216,1 
"65109","27620","Jefferson City, MO","JEFFERSON CITY",36467,1 
"65201","17860","Columbia, MO","COLUMBIA",34474,0.998 
"65201","27620","Jefferson City, MO","COLUMBIA",73,0.002 
"65202","17860","Columbia, MO","COLUMBIA",35354,0.987 
"65202","27620","Jefferson City, MO","COLUMBIA",480,0.013 
"65203","17860","Columbia, MO","COLUMBIA",45379,1 
"65230","17860","Columbia, MO","ARMSTRONG",671,0.909 
"65230","33620","Moberly, MO","ARMSTRONG",67,0.091 
"65231","27620","Jefferson City, MO","AUXVASSE",3035,0.987 
"65231","33020","Mexico, MO","AUXVASSE",41,0.013 
"65232","33020","Mexico, MO","BENTON CITY",220,1 
"65233"," "," ","BOONVILLE",11138,1 
"65236"," "," ","BRUNSWICK",1460,1 
"65237"," "," ","BUNCETON",915,1 
"65239","33620","Moberly, MO","CAIRO",1223,1 
"65240"," "," ","CENTRALIA",18,0.003 
"65240","17860","Columbia, MO","CENTRALIA",5808,0.823 
"65240","27620","Jefferson City, MO","CENTRALIA",107,0.015 
"65240","33020","Mexico, MO","CENTRALIA",1124,0.159 
"65243"," "," ","CLARK",63,0.026 
"65243","17860","Columbia, MO","CLARK",622,0.254 
"65243","33020","Mexico, MO","CLARK",771,0.315 
"65243","33620","Moberly, MO","CLARK",995,0.406 
